###############################################
# This tabular data is constructed based on excel files published by following related work. 
# Related work: Smucker, N. J.; Beaulieu, J. J.; Nietch, C. T.; Young, J. L. Increasingly severe cyanobacterial blooms and deep water hypoxia coincide with warming water temperatures in reservoirs. Global Change Biology 2021, 27 (11), 2507–2519. 
###############################################

Reservoir,formated_Date,mean_depth_surface_temp,mean_depth_deep_temp,mean_depth_deep_DO,Type,Stratification,Latitude,Longitude,Watershed,Forest,Surface,Storage_volume,Max_depth,Mean_depth,mean_depth_density_cells/ml,TP_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TON_ppm,TIN_ppm,TPinflow_ppb,TKN_inflow_ppm,NH3_inflow_ppm,NOx_inflow_ppm,TON_inflow_ppm,TIN_inflow_ppm,Chl_mg_l,Secch_inches
BHR,1992-06-23,21.85,19.32857142857143,6.5,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,923.85310653193,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,1993-07-20,29.700000000000003,21.414285714285715,0.5857142857142856,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,357.3611111111111,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,1995-08-15,29.5,22.014285714285712,0.3,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,13.615384615399998,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,1998-07-28,28.4,22.6875,0.0,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,5.21816037735849,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,1999-07-20,29.05,19.9625,0.8875000000000001,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,79.25225708477284,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,2000-07-20,26.9,22.0375,1.3,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,98.61296,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,2001-07-28,28.2,21.9,0.475,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,13.792533333333331,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,2002-07-25,28.8,18.5,2.4125,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,11.098736842105264,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,2003-06-18,25.15,19.630000000000003,5.61,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,27.75974096275,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,2003-07-29,27.5,20.9125,1.2125,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,4.6957918135000005,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,2003-08-25,29.15,21.857142857142858,1.0285714285714287,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,27.116381534526315,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
BHR,2004-06-30,26.1,20.1125,1.1625,Forest,Strong,37.3386,-83.4707,1072,0.843,5,1.6,16.7,1.4,12.13639072025,28.825035635964912,0.193270162585952,0.0692166982560568,0.1298724644945697,0.1240534643298952,0.1990891627506265,47.61818181818182,0.295,0.0564848484848484,0.3447738095238095,0.2385151515151515,0.4012586580086579,3.900059523809525,106.97619047619048
